id,remoteId,publishedAt,text,groupId,containsArticle
1028,126809,2019-03-01 13:08:34,"Гос номера у частников будут стоить 2000 рублей

Подробнее: https://drom.ru/s/eY0",1,0
1027,126817,2019-03-01 14:24:28,"КАМАЗ уже год снимает своих красивых работниц

Смотрите фото: https://drom.ru/s/IE1",1,0
1026,126843,2019-03-01 16:10:50,"UAZ Patriot получил спецверсию с салатовым цветом кузова

Подробнее: https://drom.ru/s/bVJ",1,0
1025,126862,2019-03-01 17:00:16,"С обновлением Renault Duster его минимальная цена перевалила за 700 000 рублей

Подробнее: https://drom.ru/s/GzM",1,0
1024,126873,2019-03-01 18:00:11,"Почему Hyundai не может уделать KIA? Выясняем на примере обновлённой Элантры

Читайте на сайте: https://drom.ru/s/yme",1,0
1023,126885,2019-03-01 19:00:13,"#объявадня 
ЗИЛ-41047, 1988 год 
15 999 000 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/SLJ",1,0
1022,126919,2019-03-01 23:00:12,Девушка жалуется спутнику на неполадки в своем автомобиле.,1,0
1021,126966,2019-03-02 12:16:57,"Помните ДТП с БТРами? Вот как это было!

Смотрите видео: https://drom.ru/s/UsH",1,0
1020,126999,2019-03-03 00:35:54,Чудо спасло пассажиров мопеда во Вьетнаме от верной смерти.,1,0
1019,127005,2019-03-03 02:33:03,"Грузовое судно из Владивостока врезалось в мост в Пусане — корейские СМИ сообщают, что капитан был пьян! Судно водоизмещением 6 тысяч тонн врезалось в участок между опорами моста, получив значительные повреждения и пробив в мосту дыру размером 5 на 5 метров. Морская полиция эвакуировала аварийное судно, движение по мосту перекрыто. Никто не пострадал.",1,0
1018,127046,2019-03-03 17:14:42,"Концерт рок-группы внутри Honda N-VAN? Загружаем гитару, басуху и ударную установку!

Читайте на сайте: https://drom.ru/s/WZU",1,0
1017,127049,2019-03-03 18:30:02,"По Аляске на доме на колёсах до Ледовитого Океана. 3700 км за неделю

Новые заметки об автопутешествии по ссылке: https://drom.ru/s/jpj",1,0
1016,127054,2019-03-03 19:46:43,"#объявадня 
Mercedes-Maybach S450 4MATIC, 2017 год 
8 850 000 ₽ 
⠀ 
Всю информацию можете найти на сайте — https://drom.ru/s/aaX",1,0
1015,127064,2019-03-03 23:15:06,"Tesla начала продажи бюджетной версии Model 3

Подробнее: https://drom.ru/s/tm1",1,0
1014,127067,2019-03-03 23:59:00,"Недавно мы публиковали видео из Сингапура, на котором из-за дорожного конфликта водитель грузовичка толкнул велосипедиста машиной на разделительную полосу. Вот еще одно видео из этой страны: здесь уже другие водитель грузовика и велосипедист не поделили дорогу, но в этот раз получил водитель. Похоже, у них там какая-то война.",1,0
